# Version 1.00
#
# Rohde & Schwarz ZVL6 2Ports - Version 3.20 - 1303.6509k06 SN: 100942
# Date: 2025-12-02 17:01:02
# Data & Calibration Information:
# Trc2:S12(Cal Off)
freq[Hz]	Trc2_S12[dB]	
1.000000000000000E+005	1.021113875460116E+001	
1.074500000000000E+005	1.016442748928860E+001	
1.149000000000000E+005	1.018219120944381E+001	
1.223500000000000E+005	1.013965308733408E+001	
1.298000000000000E+005	1.016368889080184E+001	
1.372500000000000E+005	1.016267316849917E+001	
1.447000000000000E+005	1.017517091551183E+001	
1.521500000000000E+005	1.019654612890171E+001	
1.596000000000000E+005	1.023013590522525E+001	
1.670500000000000E+005	1.021663749031671E+001	
1.745000000000000E+005	1.024930281821844E+001	
1.819500000000000E+005	1.024846798385982E+001	
1.894000000000000E+005	1.031469995312282E+001	
1.968500000000000E+005	1.036468412728252E+001	
2.043000000000000E+005	1.036915932101704E+001	
2.117500000000000E+005	1.032734482994456E+001	
2.192000000000000E+005	1.030826712023793E+001	
2.266500000000000E+005	1.025978515375771E+001	
2.341000000000000E+005	1.026987978070778E+001	
2.415500000000000E+005	1.026820731310522E+001	
2.490000000000000E+005	1.024327255310400E+001	
2.564500000000000E+005	1.024819890012897E+001	
2.639000000000000E+005	1.023683941556577E+001	
2.713500000000000E+005	1.022070310630780E+001	
2.788000000000000E+005	1.017218152099874E+001	
2.862500000000000E+005	1.016956721246780E+001	
2.937000000000000E+005	1.017452773199652E+001	
3.011500000000000E+005	1.028021280604058E+001	
3.086000000000000E+005	1.019434691586083E+001	
3.160500000000000E+005	1.031157515005294E+001	
3.235000000000000E+005	1.030899685574913E+001	
3.309500000000000E+005	1.025775490220558E+001	
3.384000000000000E+005	1.030340708103259E+001	
3.458500000000000E+005	1.032273281085391E+001	
3.533000000000000E+005	1.029709548537016E+001	
3.607500000000000E+005	1.027562342609439E+001	
3.682000000000000E+005	1.028343382694429E+001	
3.756500000000000E+005	1.025493661878272E+001	
3.831000000000000E+005	1.022781281945821E+001	
3.905500000000000E+005	1.017512802275912E+001	
3.980000000000000E+005	1.016124375863498E+001	
4.054500000000000E+005	1.015507993360915E+001	
4.129000000000000E+005	1.016192182894192E+001	
4.203500000000000E+005	1.022787799150583E+001	
4.278000000000000E+005	1.017454952032703E+001	
4.352500000000000E+005	1.015639831727787E+001	
4.427000000000000E+005	1.015446426209602E+001	
4.501500000000000E+005	1.015035364763324E+001	
4.576000000000000E+005	1.018123532750798E+001	
4.650500000000000E+005	1.013019158697250E+001	
4.725000000000000E+005	1.016044840582418E+001	
4.799500000000000E+005	1.017572135758477E+001	
4.874000000000000E+005	1.015125152233468E+001	
4.948500000000000E+005	1.011802057325885E+001	
5.023000000000000E+005	1.014333897221576E+001	
5.097500000000000E+005	1.017261572521443E+001	
5.172000000000000E+005	1.016225795613729E+001	
5.246500000000000E+005	1.013475681941029E+001	
5.321000000000000E+005	1.014454657535676E+001	
5.395500000000000E+005	1.013005559026260E+001	
5.470000000000000E+005	1.013094573286556E+001	
5.544500000000000E+005	1.011456056421162E+001	
5.619000000000000E+005	1.012206068206878E+001	
5.693500000000000E+005	1.007143658653421E+001	
5.768000000000000E+005	1.009252313703071E+001	
5.842500000000000E+005	1.007347158050117E+001	
5.917000000000000E+005	1.010228080087426E+001	
5.991500000000000E+005	1.006925877928085E+001	
6.066000000000000E+005	1.006312710991347E+001	
6.140500000000000E+005	1.008085068489430E+001	
6.215000000000000E+005	1.005991936388103E+001	
6.289500000000000E+005	1.005481964296882E+001	
6.364000000000000E+005	1.003054913503786E+001	
6.438500000000000E+005	1.008506446390994E+001	
6.513000000000000E+005	1.007360329358817E+001	
6.587500000000000E+005	1.003778512276163E+001	
6.662000000000000E+005	1.001703489195890E+001	
6.736500000000000E+005	9.981821305411103E+000	
6.811000000000000E+005	1.001445095032542E+001	
6.885500000000000E+005	9.990509520154820E+000	
6.960000000000000E+005	1.001113526799594E+001	
7.034500000000000E+005	9.990221169025126E+000	
7.109000000000000E+005	9.978837577386813E+000	
7.183500000000000E+005	9.968503833742354E+000	
7.258000000000000E+005	9.987252340721371E+000	
7.332500000000000E+005	9.964941154771408E+000	
7.407000000000000E+005	9.957607794858308E+000	
7.481500000000000E+005	9.962122194869732E+000	
7.556000000000000E+005	9.952125733973661E+000	
7.630500000000000E+005	9.919087873944218E+000	
7.705000000000000E+005	9.916566978907163E+000	
7.779500000000000E+005	9.919658047196053E+000	
7.854000000000000E+005	9.896949421183168E+000	
7.928500000000000E+005	9.892463102724577E+000	
8.003000000000000E+005	9.919113662687238E+000	
8.077500000000000E+005	9.896743471249954E+000	
8.152000000000000E+005	9.852839260246835E+000	
8.226500000000000E+005	9.847558686017187E+000	
8.301000000000000E+005	9.855044329461007E+000	
8.375500000000000E+005	9.847493280890889E+000	
8.450000000000000E+005	9.857493413738503E+000	
8.524500000000000E+005	9.837740111616622E+000	
8.599000000000000E+005	9.830825676351601E+000	
8.673500000000000E+005	9.797152686540288E+000	
8.748000000000000E+005	9.817820892754723E+000	
8.822500000000000E+005	9.810086516294348E+000	
8.897000000000000E+005	9.791978647846616E+000	
8.971500000000000E+005	9.760646838286128E+000	
9.046000000000000E+005	9.743715769877127E+000	
9.120500000000000E+005	9.727433918855844E+000	
9.195000000000000E+005	9.722404267118067E+000	
9.269500000000000E+005	9.693197281092635E+000	
9.344000000000000E+005	9.688877993124551E+000	
9.418500000000000E+005	9.670578234810126E+000	
9.493000000000000E+005	9.633951223438562E+000	
9.567500000000000E+005	9.615745319045821E+000	
9.642000000000000E+005	9.611463593420176E+000	
9.716500000000000E+005	9.622032260718319E+000	
9.791000000000000E+005	9.626828904792706E+000	
9.865500000000000E+005	9.601269147826296E+000	
9.940000000000000E+005	9.587093585423700E+000	
1.001450000000000E+006	9.581960610691244E+000	
1.008900000000000E+006	9.553916677433604E+000	
1.016350000000000E+006	9.542637034849935E+000	
1.023800000000000E+006	9.513501707267038E+000	
1.031250000000000E+006	9.502164612256861E+000	
1.038700000000000E+006	9.489858876639403E+000	
1.046150000000000E+006	9.462303615776431E+000	
1.053600000000000E+006	9.451391595166927E+000	
1.061050000000000E+006	9.449838378740648E+000	
1.068500000000000E+006	9.415265530227751E+000	
1.075950000000000E+006	9.395178256965950E+000	
1.083400000000000E+006	9.380106737514089E+000	
1.090850000000000E+006	9.351913015420314E+000	
1.098300000000000E+006	9.341877143571617E+000	
1.105750000000000E+006	9.300535447090210E+000	
1.113200000000000E+006	9.298423615342486E+000	
