# Version 1.00
#
# Rohde & Schwarz ZVL6 2Ports - Version 3.20 - 1303.6509k06 SN: 100942
# Date: 2025-12-02 17:04:33
# Data & Calibration Information:
# Mem3[Trc2]:S12(Cal Off)
freq[Hz]	Mem3[Trc2]_S12[dB]	
1.000000000000000E+005	1.183472685378139E+001	
1.074500000000000E+005	1.177078320108562E+001	
1.149000000000000E+005	1.177033883793179E+001	
1.223500000000000E+005	1.179795285071666E+001	
1.298000000000000E+005	1.180017647834596E+001	
1.372500000000000E+005	1.179158852037529E+001	
1.447000000000000E+005	1.182090616321732E+001	
1.521500000000000E+005	1.183018233668608E+001	
1.596000000000000E+005	1.182793854634891E+001	
1.670500000000000E+005	1.185882723476982E+001	
1.745000000000000E+005	1.190055580149923E+001	
1.819500000000000E+005	1.191870971488592E+001	
1.894000000000000E+005	1.194042095312100E+001	
1.968500000000000E+005	1.199899522097103E+001	
2.043000000000000E+005	1.199751624652106E+001	
2.117500000000000E+005	1.196742044054092E+001	
2.192000000000000E+005	1.192342769965966E+001	
2.266500000000000E+005	1.188842049665512E+001	
2.341000000000000E+005	1.188571898940351E+001	
2.415500000000000E+005	1.188463458179050E+001	
2.490000000000000E+005	1.188253905649583E+001	
2.564500000000000E+005	1.188002410455489E+001	
2.639000000000000E+005	1.187115397819737E+001	
2.713500000000000E+005	1.176042669284839E+001	
2.788000000000000E+005	1.152987482649002E+001	
2.862500000000000E+005	1.084888499033624E+001	
2.937000000000000E+005	1.003842619713478E+001	
3.011500000000000E+005	9.641354651196206E+000	
3.086000000000000E+005	8.763172836078343E+000	
3.160500000000000E+005	8.282058398132715E+000	
3.235000000000000E+005	7.735128973303634E+000	
3.309500000000000E+005	7.459826027999202E+000	
3.384000000000000E+005	7.099284715752369E+000	
3.458500000000000E+005	6.824927958807016E+000	
3.533000000000000E+005	6.594267348156922E+000	
3.607500000000000E+005	6.508824183438117E+000	
3.682000000000000E+005	6.473397053850649E+000	
3.756500000000000E+005	6.534988265984865E+000	
3.831000000000000E+005	6.709400270494361E+000	
3.905500000000000E+005	6.947228303822286E+000	
3.980000000000000E+005	7.255525443506986E+000	
4.054500000000000E+005	7.798058102425901E+000	
4.129000000000000E+005	8.458789581468675E+000	
4.203500000000000E+005	9.234222733166135E+000	
4.278000000000000E+005	1.039703454585116E+001	
4.352500000000000E+005	1.165817777474556E+001	
4.427000000000000E+005	1.184030240533844E+001	
4.501500000000000E+005	1.186278368575599E+001	
4.576000000000000E+005	1.186162466146307E+001	
4.650500000000000E+005	1.186021989497734E+001	
4.725000000000000E+005	1.190175238956562E+001	
4.799500000000000E+005	1.188304989342039E+001	
4.874000000000000E+005	1.189462572820239E+001	
4.948500000000000E+005	1.187397250969157E+001	
5.023000000000000E+005	1.190762255228452E+001	
5.097500000000000E+005	1.190198859487429E+001	
5.172000000000000E+005	1.193198559446554E+001	
5.246500000000000E+005	1.189512937533593E+001	
5.321000000000000E+005	1.190235732615974E+001	
5.395500000000000E+005	1.189527080376215E+001	
5.470000000000000E+005	1.188098176224813E+001	
5.544500000000000E+005	1.188924524494625E+001	
5.619000000000000E+005	1.188459533070094E+001	
5.693500000000000E+005	1.183322002587570E+001	
5.768000000000000E+005	1.185337349459239E+001	
5.842500000000000E+005	1.187561422643375E+001	
5.917000000000000E+005	1.187385048092108E+001	
5.991500000000000E+005	1.186579403274917E+001	
6.066000000000000E+005	1.186940500584183E+001	
6.140500000000000E+005	1.187275297735977E+001	
6.215000000000000E+005	1.185838221719356E+001	
6.289500000000000E+005	1.184705454846199E+001	
6.364000000000000E+005	1.185404404615695E+001	
6.438500000000000E+005	1.186997017460255E+001	
6.513000000000000E+005	1.190501716177750E+001	
6.587500000000000E+005	1.184280138689735E+001	
6.662000000000000E+005	1.183282611674062E+001	
6.736500000000000E+005	1.180602397526659E+001	
6.811000000000000E+005	1.184703539164158E+001	
6.885500000000000E+005	1.185778294115854E+001	
6.960000000000000E+005	1.184304159179008E+001	
7.034500000000000E+005	1.182747923138111E+001	
7.109000000000000E+005	1.183015356251280E+001	
7.183500000000000E+005	1.181330668254532E+001	
7.258000000000000E+005	1.181818766951612E+001	
7.332500000000000E+005	1.182508839949131E+001	
7.407000000000000E+005	1.180330489366548E+001	
7.481500000000000E+005	1.180193027259372E+001	
7.556000000000000E+005	1.178671285769858E+001	
7.630500000000000E+005	1.176512131121045E+001	
7.705000000000000E+005	1.177016730889063E+001	
7.779500000000000E+005	1.176449650980394E+001	
7.854000000000000E+005	1.178969425171048E+001	
7.928500000000000E+005	1.178099712556651E+001	
8.003000000000000E+005	1.178142717030939E+001	
8.077500000000000E+005	1.178861536509886E+001	
8.152000000000000E+005	1.176266725069071E+001	
8.226500000000000E+005	1.175294175689015E+001	
8.301000000000000E+005	1.177193025897801E+001	
8.375500000000000E+005	1.175576851083607E+001	
8.450000000000000E+005	1.176139920233251E+001	
8.524500000000000E+005	1.174955176013203E+001	
8.599000000000000E+005	1.173440268584811E+001	
8.673500000000000E+005	1.174247036320570E+001	
8.748000000000000E+005	1.173588098203432E+001	
8.822500000000000E+005	1.170815809363717E+001	
8.897000000000000E+005	1.169752643124375E+001	
8.971500000000000E+005	1.168986563822600E+001	
9.046000000000000E+005	1.166946734230184E+001	
9.120500000000000E+005	1.167591772025667E+001	
9.195000000000000E+005	1.166284470403128E+001	
9.269500000000000E+005	1.164417723550931E+001	
9.344000000000000E+005	1.162799928308446E+001	
9.418500000000000E+005	1.161525768508662E+001	
9.493000000000000E+005	1.160695269102087E+001	
9.567500000000000E+005	1.158962369973244E+001	
9.642000000000000E+005	1.159073135676323E+001	
9.716500000000000E+005	1.159980353469476E+001	
9.791000000000000E+005	1.159806882182581E+001	
9.865500000000000E+005	1.159618436138266E+001	
9.940000000000000E+005	1.157921925927059E+001	
1.001450000000000E+006	1.158182191339861E+001	
1.008900000000000E+006	1.154533194693868E+001	
1.016350000000000E+006	1.155521314736750E+001	
1.023800000000000E+006	1.153963656333324E+001	
1.031250000000000E+006	1.152341627855663E+001	
1.038700000000000E+006	1.151237445991617E+001	
1.046150000000000E+006	1.150084830037221E+001	
1.053600000000000E+006	1.148688330986546E+001	
1.061050000000000E+006	1.148079743148433E+001	
1.068500000000000E+006	1.146944463844990E+001	
1.075950000000000E+006	1.144374755031664E+001	
1.083400000000000E+006	1.143750080158831E+001	
1.090850000000000E+006	1.142220615543706E+001	
1.098300000000000E+006	1.141960974258369E+001	
1.105750000000000E+006	1.139746252108392E+001	
1.113200000000000E+006	1.137612659974830E+001	
1.120650000000000E+006	1.137591121916405E+001	
1.128100000000000E+006	1.134557462950005E+001	
1.135550000000000E+006	1.134829420555888E+001	
1.143000000000000E+006	1.133685136258462E+001	
1.150450000000000E+006	1.132456120269612E+001	
1.157900000000000E+006	1.130485279773282E+001	
1.165350000000000E+006	1.128969135334663E+001	
1.172800000000000E+006	1.127891499740032E+001	
1.180250000000000E+006	1.126270873947406E+001	
1.187700000000000E+006	1.125624192046110E+001	
1.195150000000000E+006	1.123314951751268E+001	
1.202600000000000E+006	1.121652698291740E+001	
1.210050000000000E+006	1.120329582874431E+001	
1.217500000000000E+006	1.120410485590114E+001	
1.224950000000000E+006	1.120647209847297E+001	
1.232400000000000E+006	1.119054865519217E+001	
1.239850000000000E+006	1.118643662612559E+001	
1.247300000000000E+006	1.117677422696283E+001	
1.254750000000000E+006	1.116424273497647E+001	
1.262200000000000E+006	1.116690226252893E+001	
1.269650000000000E+006	1.116569635151412E+001	
1.277100000000000E+006	1.112654781956259E+001	
1.284550000000000E+006	1.114601089415886E+001	
1.292000000000000E+006	1.112060499724154E+001	
1.299450000000000E+006	1.111630105717752E+001	
1.306900000000000E+006	1.110090202671666E+001	
1.314350000000000E+006	1.110181083556774E+001	
1.321800000000000E+006	1.110326014998920E+001	
1.329250000000000E+006	1.108415598579724E+001	
1.336700000000000E+006	1.108430035351803E+001	
1.344150000000000E+006	1.107525464503509E+001	
1.351600000000000E+006	1.106795241508673E+001	
1.359050000000000E+006	1.106440826944388E+001	
1.366500000000000E+006	1.104536716728808E+001	
1.373950000000000E+006	1.103968480650592E+001	
1.381400000000000E+006	1.102435305845102E+001	
1.388850000000000E+006	1.102194255758464E+001	
1.396300000000000E+006	1.100997063529062E+001	
1.403750000000000E+006	1.100143612634615E+001	
1.411200000000000E+006	1.100253313031972E+001	
1.418650000000000E+006	1.098760623103740E+001	
1.426100000000000E+006	1.097574351011126E+001	
1.433550000000000E+006	1.096999398798964E+001	
1.441000000000000E+006	1.097055589700655E+001	
1.448450000000000E+006	1.095306893253038E+001	
1.455900000000000E+006	1.095147916022120E+001	
1.463350000000000E+006	1.095127724586840E+001	
1.470800000000000E+006	1.092802488534843E+001	
